,logFC,AveExpr,t,P.Value,adj.P.Val,B
AP000851.1,1.65565993253717,-3.6944140121167,4.70348508966578,2.97013543787383e-06,2.00334884417942e-05,3.76073836696738
SLC44A4,1.14949860715488,7.52662352818078,4.70054887164183,3.0120967343136e-06,2.02903622665338e-05,3.74734833682495
IFNG,1.39491596034024,-2.1163075712643,4.69900699105531,3.0343591821025e-06,2.04238586592538e-05,3.74032008387652
SHOX2,1.28507474467848,-1.36725409477918,4.69840863422051,3.0430410747096e-06,2.04722179066717e-05,3.73759322353705
AC011700.1,1.40438485497052,-2.95122476943249,4.69815278931045,3.04676055189045e-06,2.04921997522932e-05,3.73642737563527
AC126696.3,1.10088746483488,-3.83371162830664,4.68870789178734,3.18716949840096e-06,2.13577843316639e-05,3.69343059525845
RDH16,1.00488011952038,-1.08775005374746,4.68315690412404,3.27257007564716e-06,2.18898398297079e-05,3.66819876103565
AL627309.6,1.29142330052984,-0.846693306078947,4.68296081288076,3.27562673741486e-06,2.19076063099665e-05,3.6673079543577
TNNT1,1.72386934713047,-0.137703907183066,4.67958201083865,3.32872814849999e-06,2.22437124107767e-05,3.65196424503659
AF124730.1,1.08643163847885,-4.83644445937071,4.67801947870808,3.35356370243346e-06,2.24014614929895e-05,3.64487208452088
CST5,1.19525571461977,-4.30079669149886,4.67619081767736,3.38285530560701e-06,2.25833358891951e-05,3.63657485480275
AC087273.2,1.07319616973777,-4.90459322242563,4.67613593490465,3.38373820883575e-06,2.25864731916367e-05,3.636325881501
PLAC1,1.4699062027117,-2.44129254297471,4.67034732216293,3.47811336003945e-06,2.31460214824953e-05,3.6100816969409
AL031846.1,1.0235509459288,-3.60900111784897,4.66985555301092,3.48624645498909e-06,2.31914679950898e-05,3.60785355818969
CYP4F23P,1.60416256466017,-2.99582706393364,4.66895589751939,3.50117265498838e-06,2.32794357360308e-05,3.60377791979484
RTN4RL2,1.00989491201809,0.869012107306316,4.66768937300181,3.52228965403269e-06,2.34056168906959e-05,3.59804154940272
AC005291.1,1.00900848528095,-4.89593657680778,4.66726707577731,3.52935784902181e-06,2.34497360972118e-05,3.59612920069784
AC024937.2,1.05302880929332,-3.7598554991762,4.6641157478405,3.58253498187637e-06,2.37741750586906e-05,3.58186378978671
CLPSL2,1.23483333068278,-4.73937652558352,4.66379044814791,3.58806786772461e-06,2.38022282626074e-05,3.58039174711979
AC135388.1,1.45266058482131,-4.96064143520938,4.66364492185553,3.5905457193653e-06,2.3815777118686e-05,3.57973324472675
CDKN2A,1.35547151406568,2.70775399473684,4.66281253699264,3.6047502100754e-06,2.39012986713631e-05,3.57596710219995
AL135999.3,1.25217576558201,-2.15648347410755,4.65600877938723,3.7228958056058e-06,2.462198138907e-05,3.54520733789189
SLC28A3,1.40156595799623,2.13659221179634,4.65597500113418,3.72349153016726e-06,2.46229439296939e-05,3.54505473312798
MUCL1,1.62989150727943,-3.82463887460881,4.6551748510335,3.73763004198102e-06,2.47070157762453e-05,3.54144009049994
LINC00524,1.30537959067072,-4.61114111627117,4.64991954334405,3.83177975199408e-06,2.52748665623874e-05,3.51771416107554
AL589743.1,1.6109110245135,-2.02383608606144,4.64747011932628,3.87643568298572e-06,2.55447770699884e-05,3.50666455602292
AC004066.1,1.02615147804518,-3.05153071881007,4.64613604177836,3.9009672694786e-06,2.56940516382626e-05,3.50064872468551
GRIN3B,1.04112299759713,-1.86052356386499,4.64459468557236,3.92949598835354e-06,2.58632711291212e-05,3.4937002463927
CCT6P2,1.0977573646966,-2.72190544282952,4.64385408963272,3.94327470561768e-06,2.5944594012241e-05,3.49036239886387
LINC02535,1.40857375528219,1.36030443267048,4.63484901178319,4.11456862577512e-06,2.70358398590546e-05,3.44981726448556
AL645608.8,1.08714401339898,-4.35224279451945,4.63382590155467,4.13447605285251e-06,2.71503383012088e-05,3.44521547527313
ANXA13,1.5948834217204,3.31868758805492,4.63239554479057,4.16246263306038e-06,2.7301342333042e-05,3.43878357607086
AC007938.1,1.00597427218762,-3.39791910224256,4.62749992916878,4.25963388528761e-06,2.79185950096832e-05,3.41678371989264
AP000619.1,1.13609312981178,-4.13380825855835,4.62247320942124,4.36167126632437e-06,2.85497379022991e-05,3.39421775287197
AL606534.4,1.2675148664569,-2.9110087822722,4.6171579662384,4.47211573900366e-06,2.92237001606697e-05,3.37038194590049
TTLL2,1.2640188577139,-1.37829512618879,4.61587138909613,4.49924999189872e-06,2.93869689881658e-05,3.36461631304069
BECN2,1.07435892318617,-4.84226511693364,4.61123154354717,4.59842388716009e-06,2.99917474968067e-05,3.34383614073768
FAR2P1,2.25713358255436,-2.45367924544851,4.61097353915123,4.60399969889622e-06,3.00245336271764e-05,3.34268121744195
AC091931.1,1.06233045075265,-5.28157860983982,4.60906439319344,4.64546092216015e-06,3.02696551271801e-05,3.33413708510727
LINC02562,1.44228847354662,0.418766601531236,4.60818109789921,4.66476458913568e-06,3.03822518784986e-05,3.3301851530731
HOXC8,1.8125565730179,-1.55110137744622,4.60475097310759,4.74045939128679e-06,3.08408976336899e-05,3.31484534718813
AC087857.1,1.15785535702917,-5.24157578779176,4.60157094356922,4.8116868724218e-06,3.1267103895344e-05,3.3006337067324
AL359881.2,1.14043223323453,-4.34313408039359,4.60102046162645,4.82412057277135e-06,3.13441761377677e-05,3.29817453712877
GATA3.AS1,1.02057519043249,-5.15118680329634,4.60076199502991,4.82996917024527e-06,3.13747225375968e-05,3.29701998521986
SULT2B1,1.31597728286341,3.40629959609531,4.5961016878646,4.93659734410121e-06,3.20217257750968e-05,3.27621332439119
LINC01101,1.47805268331635,-4.02926937229291,4.5899618382954,5.08052926531583e-06,3.28540492038838e-05,3.2488316849263
AL356215.1,1.00830669715395,-2.77338320251716,4.58533686042482,5.19159844673991e-06,3.35445336142279e-05,3.22822888630992
FGF17,1.07463226037783,-3.12954554643021,4.58365121413536,5.23265553128316e-06,3.37938474770968e-05,3.22072479162354
AC007277.1,1.66801386158247,-2.41835136799771,4.58120761631963,5.29272732880218e-06,3.41495483365383e-05,3.20985114595508
AL731556.1,1.03614692200864,-2.95935193088787,4.57947355609347,5.3357569539036e-06,3.43987772977083e-05,3.20213818843908
CFAP61.AS1,1.10968551716205,-4.92554733510755,4.57729206465195,5.39036598473468e-06,3.47180955646565e-05,3.19243904591168
