,logFC,AveExpr,t,P.Value,adj.P.Val,B
CISTR,-1.15521069463988,-5.89332286287529,-6.45355295987014,1.80603848736974e-10,2.30905271310631e-09,13.1270362588034
AC011239.2,-1.50142725195555,-3.63256069597254,-6.44564717371925,1.89824941559435e-10,2.42128618903761e-09,13.0786408014221
AC110491.1,-1.60977370329097,-5.33289725091533,-6.44408017055797,1.91706608398263e-10,2.44357794135237e-09,13.069054756547
RNY4,-1.3236801065153,-5.56296927368421,-6.44327133612208,1.92684991958205e-10,2.45547661583272e-09,13.0641075908664
MT1X,-1.07397649901179,3.91338454496568,-6.44175671535513,1.94530269954362e-10,2.47610731095039e-09,13.0548450624181
AC011503.1,-1.48157005592084,-4.72199062982723,-6.43921704882656,1.97663253929565e-10,2.51364605293596e-09,13.0393183999847
DACT3,-1.52124599872636,2.14999482291304,-6.43815912837538,1.98982846265828e-10,2.52748880086147e-09,13.0328522741353
HSPB6,-2.63923323382162,3.15195356300229,-6.43465156003199,2.03419967475144e-10,2.58145130418864e-09,13.011420541498
C7,-2.52978138193816,2.55719090108124,-6.43417348399148,2.04032188841534e-10,2.58861994170441e-09,13.0085002523442
UGT1A7,-1.85057056547761,-4.03158092350458,-6.43396417951484,2.04300790085134e-10,2.59142664974638e-09,13.0072217948221
LINC02716,-1.34856975695769,-4.08704502391304,-6.42983912672727,2.09665653315566e-10,2.65639631876185e-09,12.982033180807
C8orf88,-1.70417462218612,-1.41308557669989,-6.4295243649735,2.10080633235323e-10,2.66103757174757e-09,12.9801117692232
RNF150,-1.95139324702763,1.81881586805149,-6.42618161044994,2.14537590855275e-10,2.71434964881546e-09,12.9597117491772
DMD,-1.49240018890814,3.45785977421053,-6.42614337771656,2.14589098680569e-10,2.71437343948514e-09,12.9594784798804
NNAT,-1.35723281443741,0.529437521058352,-6.42572380198979,2.1515515431283e-10,2.72039544989183e-09,12.9569186062953
TMEM132C,-2.34471365912585,-2.10693143552517,-6.42389177343469,2.17643935848952e-10,2.75047021054954e-09,12.9457429972183
MYOM1,-1.51125519853676,1.19887522398398,-6.41766005365945,2.26322327710844e-10,2.85552473221329e-09,12.9077504047933
ARHGAP20,-1.58303119396475,0.00788675172311213,-6.41537382542902,2.29590317604596e-10,2.89408675302682e-09,12.8938204891683
AC096564.1,-1.38030660779307,-3.47804179057208,-6.41345543015518,2.32368106985373e-10,2.92707821546867e-09,12.8821352518228
ASTN1,-2.24246302084894,-3.05453357514874,-6.40643982828944,2.42809348446126e-10,3.05297869270364e-09,12.8394292291945
SCTR,-2.21319084781815,-1.7962501615595,-6.40276479509615,2.48460663927507e-10,3.11758568789056e-09,12.8170752009777
